student_id,study_hours,attendance_pct,previous_score,assignment_completion,sleep_hours,participation,previous_performance,performance_class
STU-1522,5.0,90.7,75.4,89.7,7.7,7,6,Good
STU-1738,3.7,87.6,65.6,86.4,7.1,8,8,Good
STU-1741,5.0,83.3,76.8,89.4,8.1,4,6,Good
STU-1661,4.3,96.4,72.7,92.0,7.5,8,6,Good
STU-1412,2.6,76.3,63.7,52.9,4.1,4,6,Average
STU-1679,4.9,79.5,72.8,87.6,8.2,6,7,Good
STU-1627,4.1,87.2,74.4,84.4,6.4,5,7,Good
STU-1514,3.7,90.0,54.6,84.3,8.0,4,6,Average
STU-1860,8.2,95.9,86.1,100.0,7.7,8,9,Excellent
STU-1137,0.7,75.3,47.2,68.8,6.3,3,4,Needs Improvement
STU-1812,6.1,88.2,75.0,80.8,6.8,5,7,Good
STU-1077,1.7,43.5,41.5,52.7,4.5,2,4,Needs Improvement
STU-1637,5.9,87.8,85.6,88.9,5.9,5,5,Good
STU-1974,4.9,90.7,80.5,90.0,7.7,7,7,Excellent
STU-1939,8.7,93.2,91.0,99.5,7.4,7,10,Excellent
STU-1900,7.4,89.2,93.1,91.7,6.5,8,8,Excellent
STU-1281,3.2,76.3,68.6,78.8,7.3,5,5,Average
STU-1884,6.4,87.1,98.8,94.8,6.8,9,9,Excellent
STU-1762,5.0,88.9,67.5,83.5,6.8,7,8,Good
STU-1320,4.0,64.3,70.1,73.1,5.5,4,6,Average
STU-1550,3.4,95.7,83.0,94.1,6.6,7,5,Good
STU-1175,1.0,80.0,36.1,56.6,6.8,3,3,Needs Improvement
STU-1372,3.4,83.6,61.6,56.1,7.3,4,4,Average
STU-1528,4.6,89.2,83.0,94.9,8.2,8,7,Good
STU-1211,2.9,50.7,46.7,52.2,4.6,4,3,Needs Improvement
STU-1236,3.6,72.5,71.9,83.7,9.5,6,5,Average
STU-1102,3.4,33.0,65.0,55.2,5.7,2,4,Needs Improvement
STU-1987,7.3,92.1,88.3,96.0,6.5,8,8,Excellent
STU-1903,8.2,96.9,100.0,93.1,8.4,8,10,Excellent
STU-1948,7.4,87.7,92.1,93.6,6.8,8,8,Excellent
STU-1347,3.0,73.7,54.3,77.6,7.3,5,6,Average
STU-1140,1.2,52.6,29.1,45.2,3.0,1,4,Needs Improvement
STU-1622,3.2,80.4,74.6,73.8,7.1,6,5,Good
STU-1500,2.7,78.1,78.0,80.3,6.5,5,5,Average
STU-1371,4.3,70.3,64.7,73.5,7.6,2,4,Average
STU-1199,3.0,76.7,48.3,40.7,6.5,2,6,Needs Improvement
STU-1688,4.4,90.5,66.5,91.3,6.3,7,7,Good
STU-1585,5.9,83.7,71.4,96.2,7.0,7,8,Good
STU-1902,7.9,93.7,90.1,94.4,8.6,7,9,Excellent
STU-1060,2.9,62.0,40.5,75.0,6.0,4,3,Needs Improvement
STU-1329,3.6,85.2,69.6,59.5,7.9,4,5,Average
STU-1097,1.5,53.5,33.9,40.3,4.1,5,4,Needs Improvement
STU-1313,1.2,86.3,55.0,70.6,6.1,6,3,Average
STU-1975,6.8,91.8,99.0,100.0,6.7,9,9,Excellent
STU-1300,2.2,82.3,64.5,79.0,5.3,3,6,Average
STU-1278,3.3,76.5,62.3,75.4,6.2,6,5,Average
STU-1925,7.5,91.3,90.2,93.9,7.6,6,7,Excellent
STU-1602,2.5,80.9,71.2,85.3,6.6,8,5,Good
STU-1440,4.7,68.1,77.7,80.0,7.3,5,5,Average
STU-1838,4.2,93.5,85.4,84.8,5.3,6,6,Good
STU-1571,3.1,83.2,66.1,91.9,5.0,7,5,Good
STU-1880,5.7,96.9,92.0,94.4,6.7,8,7,Excellent
STU-1262,4.5,73.2,65.1,79.4,6.9,6,5,Average
STU-1579,5.5,98.0,77.4,89.6,6.4,7,7,Good
STU-1024,2.5,71.9,39.8,66.5,6.4,4,5,Needs Improvement
STU-1031,2.3,71.6,57.5,61.8,5.3,4,2,Needs Improvement
STU-1618,4.5,85.9,77.4,94.9,6.0,6,8,Good
STU-1011,2.1,76.5,47.6,75.0,3.0,4,3,Needs Improvement
STU-1222,3.5,80.1,73.6,72.1,6.4,4,4,Average
STU-1821,5.1,80.0,78.1,77.5,5.3,7,6,Good
STU-1297,3.3,75.6,60.7,70.2,7.3,6,5,Average
STU-1055,3.8,48.3,39.6,43.0,3.0,2,2,Needs Improvement
STU-1543,4.8,84.0,77.0,88.4,6.1,5,5,Good
STU-1210,1.0,51.0,53.9,75.0,6.4,1,4,Needs Improvement
STU-1605,5.1,86.1,68.6,95.8,6.5,7,5,Good
STU-1693,6.0,89.2,65.0,83.6,6.5,7,4,Good
STU-1663,4.1,72.0,81.1,79.1,5.1,4,8,Good
STU-1867,6.3,100.0,90.8,94.0,6.7,9,9,Excellent
STU-1071,1.8,75.8,48.8,39.1,8.1,3,2,Needs Improvement
STU-1544,3.2,78.7,79.0,81.2,7.6,7,5,Good
STU-1108,0.5,46.9,34.5,37.4,7.4,1,6,Needs Improvement
STU-1494,2.1,73.0,61.1,50.0,9.1,6,5,Average
STU-1591,4.6,86.0,84.4,95.3,7.0,6,7,Good
STU-1742,5.0,80.5,88.4,82.9,7.1,7,6,Good
STU-1293,2.5,83.0,65.0,72.9,6.2,5,6,Average
STU-1290,2.0,55.0,66.3,88.0,8.1,5,4,Average
STU-1653,5.6,82.6,83.1,79.0,8.6,7,6,Good
STU-1040,1.8,46.2,52.6,55.0,4.9,3,2,Needs Improvement
STU-1590,5.0,87.8,71.4,81.3,8.9,6,9,Good
STU-1308,1.7,72.6,76.6,73.2,6.9,3,4,Average
STU-1680,4.4,82.8,79.8,77.3,8.4,6,8,Good
STU-1067,1.2,60.6,46.9,48.7,6.7,4,2,Needs Improvement
STU-1276,2.4,55.0,63.0,82.9,9.0,3,6,Average
STU-1068,1.3,54.7,25.0,29.3,7.9,5,3,Needs Improvement
STU-1319,4.5,69.2,51.9,82.1,5.8,6,3,Average
STU-1549,6.0,88.3,72.2,85.0,6.5,6,8,Good
STU-1999,5.0,100.0,89.9,94.8,8.0,9,9,Excellent
STU-1715,5.6,80.9,75.5,84.1,5.3,6,8,Good
STU-1754,7.4,78.8,82.2,84.3,7.9,5,6,Good
STU-1328,4.5,87.9,71.9,73.8,5.6,4,6,Average
STU-1383,2.3,58.3,67.4,58.9,6.7,5,6,Average
STU-1452,3.3,84.6,67.2,67.5,7.1,4,4,Average
STU-1523,4.9,88.2,78.0,73.4,7.3,9,7,Good
STU-1219,3.5,76.5,43.1,35.2,6.0,1,3,Needs Improvement
STU-1788,4.7,86.8,82.4,91.1,7.4,8,5,Good
STU-1437,2.9,67.7,77.1,65.3,5.9,5,4,Average
STU-1765,2.8,86.2,81.7,89.4,7.3,8,6,Good
STU-1089,1.9,66.7,52.8,55.4,4.6,3,5,Needs Improvement
STU-1064,1.8,33.2,47.1,32.4,6.8,3,2,Needs Improvement
STU-1827,5.3,98.0,77.2,90.8,7.0,9,5,Good
STU-1717,4.8,84.6,78.5,83.7,5.0,9,7,Good
STU-1352,3.4,78.0,68.3,73.7,7.5,6,4,Average
STU-1937,7.3,91.0,88.7,90.1,7.4,9,9,Excellent
STU-1257,3.1,79.4,66.5,66.2,6.2,4,6,Average
STU-1636,4.0,80.7,78.6,90.1,8.6,6,6,Good
STU-1645,5.5,85.6,70.9,93.9,6.5,6,7,Good
STU-1555,3.3,84.8,79.8,88.1,5.3,6,7,Good
STU-1960,7.2,86.1,92.1,98.7,7.4,10,9,Excellent
STU-1169,0.3,56.8,38.1,35.4,6.1,5,4,Needs Improvement
STU-1918,6.5,89.5,86.3,99.6,7.6,8,9,Excellent
STU-1529,4.2,88.0,83.6,85.6,8.2,8,6,Good
STU-1824,5.3,80.1,69.6,87.7,6.8,7,7,Good
STU-1986,6.1,91.1,84.9,94.9,6.2,9,8,Excellent
STU-1817,5.7,88.4,80.4,84.2,7.6,6,8,Good
STU-1087,2.6,74.3,52.1,75.0,4.6,1,1,Needs Improvement
STU-1433,1.5,70.9,66.3,77.0,6.0,5,2,Average
STU-1185,0.8,32.2,51.9,75.0,5.8,4,3,Needs Improvement
STU-1979,6.9,95.9,100.0,91.5,6.5,8,8,Excellent
STU-1535,4.4,77.9,73.7,90.4,7.4,7,6,Good
STU-1295,3.4,75.5,71.0,71.8,7.1,5,5,Average
STU-1893,6.0,96.0,92.4,97.2,6.0,9,8,Excellent
STU-1426,3.3,84.1,59.1,77.9,6.8,5,7,Average
STU-1714,5.5,85.3,81.4,82.7,7.1,8,10,Good
STU-1261,3.1,74.6,63.4,67.1,6.8,5,4,Average
